name,batch_id,open,close,volume,item_url
Sticker | Taste Buddy (Holo),2025-07-31 01:48:41,5.2,5.15,228,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Glove Case,2025-07-31 01:48:41,17.25,17.24,2077,https://steamcommunity.com/market/listings/730/Glove%20Case
Operation Wildfire Case,2025-07-31 01:48:41,5.0,4.96,1015,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
Dreams & Nightmares Case,2025-07-31 01:48:41,2.27,2.3,102822,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Operation Riptide Case,2025-07-31 01:48:41,20.75,20.54,132,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
Sticker | Hypnoteyes (Holo),2025-07-31 01:48:41,1.27,1.25,205,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
Operation Broken Fang Case,2025-07-31 01:48:41,13.84,13.92,520,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
AK-47 | Bloodsport (Factory New),2025-07-31 01:48:41,450.0,435.27,5,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
Desert Eagle | Mecha Industries (Factory New),2025-07-31 01:48:41,18.74,16.07,89,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
AWP | Hyper Beast (Factory New),2025-08-01 00:35:07,158.18,149.12,9,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
Desert Eagle | Mecha Industries (Factory New),2025-08-01 00:35:07,19.49,19.31,70,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
Operation Wildfire Case,2025-08-01 00:35:07,5.03,5.0,958,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-01 00:35:07,78.54,77.69,7,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-01 00:35:07,1.72,1.81,450,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
Sticker | Taste Buddy (Holo),2025-08-01 00:35:07,5.03,5.02,170,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
M4A4 | Neo-Noir (Factory New),2025-08-01 00:35:07,105.19,103.51,12,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
Sticker | Bolt Energy (Foil),2025-08-01 00:35:07,1.7,1.71,120,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-01 00:35:07,1.79,1.72,227,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Glove Case,2025-08-01 00:35:07,17.27,17.24,2034,https://steamcommunity.com/market/listings/730/Glove%20Case
AK-47 | Bloodsport (Factory New),2025-08-01 00:35:07,445.0,427.5,4,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
M4A4 | Desolate Space (Factory New),2025-08-01 00:35:07,92.02,80.5,6,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
AK-47 | Asiimov (Factory New),2025-08-01 00:35:07,363.17,355.36,1,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
Operation Riptide Case,2025-08-01 00:35:07,20.06,20.65,192,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
Desert Eagle | Printstream (Factory New),2025-08-01 00:35:07,124.98,121.4,15,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
Operation Broken Fang Case,2025-08-01 00:35:07,13.98,13.36,450,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
M4A1-S | Leaded Glass (Factory New),2025-08-01 00:35:07,46.13,36.69,33,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Dreams & Nightmares Case,2025-08-01 00:35:07,2.3,2.28,103988,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Sticker | Hypnoteyes (Holo),2025-08-01 00:35:07,1.18,1.16,221,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
M4A1-S | Decimator (Factory New),2025-08-01 00:35:07,107.81,96.98,10,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
Glove Case,2025-08-02 02:08:59,17.49,17.42,2436,https://steamcommunity.com/market/listings/730/Glove%20Case
AK-47 | Bloodsport (Factory New),2025-08-02 02:08:59,434.2,415.0,7,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-08-02 02:08:59,106.0,101.75,6,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
Dreams & Nightmares Case,2025-08-02 02:08:59,2.34,2.37,88966,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
M4A4 | Desolate Space (Factory New),2025-08-02 02:08:59,87.37,82.47,3,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
Sticker | Hypnoteyes (Holo),2025-08-02 02:08:59,1.23,1.21,243,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
Operation Riptide Case,2025-08-02 02:08:59,19.69,20.27,128,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
Desert Eagle | Printstream (Factory New),2025-08-02 02:08:59,123.64,123.58,18,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
Sticker | Taste Buddy (Holo),2025-08-02 02:08:59,5.11,5.1,130,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Sticker | Bolt Energy (Foil),2025-08-02 02:08:59,1.92,1.93,159,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
AWP | Hyper Beast (Factory New),2025-08-02 02:08:59,150.28,147.9,2,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-02 02:08:59,77.3,75.56,9,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-02 02:08:59,1.79,1.62,140,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Operation Broken Fang Case,2025-08-02 02:08:59,13.69,13.59,437,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
M4A1-S | Leaded Glass (Factory New),2025-08-02 02:08:59,47.87,38.52,15,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Desert Eagle | Mecha Industries (Factory New),2025-08-02 02:08:59,18.18,17.87,27,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
Operation Wildfire Case,2025-08-02 02:08:59,5.01,5.2,1228,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-02 02:08:59,1.74,1.72,156,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
AK-47 | Asiimov (Factory New),2025-08-02 02:08:59,363.17,355.36,1,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
M4A4 | Neo-Noir (Factory New),2025-08-02 02:08:59,105.19,103.51,12,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
M4A4 | Neo-Noir (Factory New),2025-08-03 01:26:08,106.5,95.15,11,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
AK-47 | Asiimov (Factory New),2025-08-03 01:26:08,362.32,368.58,1,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
Desert Eagle | Printstream (Factory New),2025-08-03 01:26:08,127.16,118.3,21,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
Sticker | Bolt Energy (Foil),2025-08-03 01:26:08,1.99,2.11,220,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Dreams & Nightmares Case,2025-08-03 01:26:08,2.34,2.36,81269,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
AWP | Hyper Beast (Factory New),2025-08-03 01:26:08,159.5,154.88,8,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-08-03 01:26:08,102.29,93.04,13,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
M4A1-S | Leaded Glass (Factory New),2025-08-03 01:26:08,47.93,46.84,28,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Sticker | Taste Buddy (Holo),2025-08-03 01:26:08,5.15,5.16,230,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Sticker | Hypnoteyes (Holo),2025-08-03 01:26:08,1.22,1.25,218,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
Operation Riptide Case,2025-08-03 01:26:08,20.4,19.47,135,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-03 01:26:08,76.27,74.89,9,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
